subset_indices,subset_names,strength
"(8, 9)","(GATS8e,GATS8s)",0.8734029413471935
"(4, 5)","(CrippenMR,SpMax7_Bhe)",0.6327982664923248
"(4, 10)","(CrippenMR,SpMax5_Bhv)",0.6162205964249556
"(5, 10)","(SpMax7_Bhe,SpMax5_Bhv)",0.5788218964517111
"(0, 4)","(MDEC-23,CrippenMR)",0.5534032624008827
"(0, 5)","(MDEC-23,SpMax7_Bhe)",0.48223212232184487
"(0, 10)","(MDEC-23,SpMax5_Bhv)",0.4661386572878343
"(3, 11)","(VE3_Dt,VE3_Dzi)",0.3691942525950127
"(0, 12)","(MDEC-23,VPC-4)",0.3139563081123995
"(4, 12)","(CrippenMR,VPC-4)",0.25173558109190486
"(2, 8)","(ATSC8s,GATS8e)",0.23178031419373313
"(2, 9)","(ATSC8s,GATS8s)",0.23080833688452973
"(4, 5, 10)","(CrippenMR,SpMax7_Bhe,SpMax5_Bhv)",0.6092802531229972
"(0, 4, 5)","(MDEC-23,CrippenMR,SpMax7_Bhe)",0.5561445504050174
"(0, 4, 10)","(MDEC-23,CrippenMR,SpMax5_Bhv)",0.5452541720378908
"(0, 5, 10)","(MDEC-23,SpMax7_Bhe,SpMax5_Bhv)",0.5090642253537968
"(2, 8, 9)","(ATSC8s,GATS8e,GATS8s)",0.44533053080848545
"(0, 4, 12)","(MDEC-23,CrippenMR,VPC-4)",0.373031717201729
"(4, 5, 12)","(CrippenMR,SpMax7_Bhe,VPC-4)",0.3663125584601925
"(0, 5, 12)","(MDEC-23,SpMax7_Bhe,VPC-4)",0.3368640860768641
"(5, 8, 9)","(SpMax7_Bhe,GATS8e,GATS8s)",0.3354086072721571
"(8, 9, 10)","(GATS8e,GATS8s,SpMax5_Bhv)",0.33423083387552527
"(4, 10, 12)","(CrippenMR,SpMax5_Bhv,VPC-4)",0.3269465795115291
"(4, 8, 9)","(CrippenMR,GATS8e,GATS8s)",0.3267040214812745
